Bank NameBank,CityCity,StateSt,CertCert,Acquiring InstitutionAI,Closing DateClosing,FundFund
"Blue Ridge Savings Bank, Inc.",Asheville,NC,32347,Bank of North Carolina,"October 14, 2011",10401
Piedmont Community Bank,Gray,GA,57256,State Bank and Trust Company,"October 14, 2011",10404
Sun Security Bank,Ellington,MO,20115,Great Southern Bank,"October 7, 2011",10400
The RiverBank,Wyoming,MN,10216,Central Bank,"October 7, 2011",10399
First International Bank,Plano,TX,33513,American First National Bank,"September 30, 2011",10398
Citizens Bank of Northern California,Nevada City,CA,33983,Tri Counties Bank,"September 23, 2011",10397
Bank of the Commonwealth,Norfolk,VA,20408,Southern Bank and Trust Company,"September 23, 2011",10396
The First National Bank of Florida,Milton,FL,25155,CharterBank,"September 9, 2011",10395
CreekSide Bank,Woodstock,GA,58226,Georgia Commerce Bank,"September 2, 2011",10393
Patriot Bank of Georgia,Cumming,GA,58273,Georgia Commerce Bank,"September 2, 2011",10394
First Choice Bank,Geneva,IL,57212,Inland Bank & Trust,"August 19, 2011",10390
First Southern National Bank,Statesboro,GA,57239,Heritage Bank of the South,"August 19, 2011",10391
Lydian Private Bank,Palm Beach,FL,35356,"Sabadell United Bank, N.A.","August 19, 2011",10392
Public Savings Bank,Huntingdon Valley,PA,34130,"Capital Bank, N.A.","August 18, 2011",10389
The First National Bank of Olathe,Olathe,KS,4744,Enterprise Bank & Trust,"August 12, 2011",10388
Bank of Whitman,Colfax,WA,22528,Columbia State Bank,"August 5, 2011",10387
Bank of Shorewood,Shorewood,IL,22637,Heartland Bank and Trust Company,"August 5, 2011",10386
Integra Bank National Association,Evansville,IN,4392,Old National Bank,"July 29, 2011",10384
"BankMeridian, N.A.",Columbia,SC,58222,SCBT National Association,"July 29, 2011",10383
Virginia Business Bank,Richmond,VA,58283,Xenith Bank,"July 29, 2011",10385
Bank of Choice,Greeley,CO,2994,"Bank Midwest, N.A.","July 22, 2011",10380
LandMark Bank of Florida,Sarasota,FL,35244,American Momentum Bank,"July 22, 2011",10381
Southshore Community Bank,Apollo Beach,FL,58056,American Momentum Bank,"July 22, 2011",10382
Summit Bank,Prescott,AZ,57442,The Foothills Bank,"July 15, 2011",10379
First Peoples Bank,Port St. Lucie,FL,34870,"Premier American Bank, N.A.","July 15, 2011",10376
High Trust Bank,Stockbridge,GA,19554,Ameris Bank,"July 15, 2011",10377
One Georgia Bank,Atlanta,GA,58238,Ameris Bank,"July 15, 2011",10378
Signature Bank,Windsor,CO,57835,Points West Community Bank,"July 8, 2011",10375
Colorado Capital Bank,Castle Rock,CO,34522,First-Citizens Bank & Trust Company,"July 8, 2011",10373
First Chicago Bank & Trust,Chicago,IL,27935,Northbrook Bank & Trust Company,"July 8, 2011",10374
Mountain Heritage Bank,Clayton,GA,57593,First American Bank and Trust Company,"June 24, 2011",10372
First Commercial Bank of Tampa Bay,Tampa,FL,27583,Stonegate Bank,"June 17, 2011",10370
McIntosh State Bank,Jackson,GA,19237,Hamilton State Bank,"June 17, 2011",10371
Atlantic Bank and Trust,Charleston,SC,58420,"First Citizens Bank and Trust Company, Inc.","June 3, 2011",10369
First Heritage Bank,Snohomish,WA,23626,Columbia State Bank,"May 27, 2011",10368
Summit Bank,Burlington,WA,513,Columbia State Bank,"May 20, 2011",10367
First Georgia Banking Company,Franklin,GA,57647,"CertusBank, National Association","May 20, 2011",10366
Atlantic Southern Bank,Macon,GA,57213,"CertusBank, National Association","May 20, 2011",10365
Coastal Bank,Cocoa Beach,FL,34898,"Florida Community Bank, a division of Premier American Bank, N.A.","May 6, 2011",10364
Community Central Bank,Mount Clemens,MI,34234,Talmer Bank & Trust,"April 29, 2011",10359
The Park Avenue Bank,Valdosta,GA,19797,Bank of the Ozarks,"April 29, 2011",10363
First Choice Community Bank,Dallas,GA,58539,Bank of the Ozarks,"April 29, 2011",10361
Cortez Community Bank,Brooksville,FL,57625,"Florida Community Bank, a division of Premier American Bank, N.A.","April 29, 2011",10360
First National Bank of Central Florida,Winter Park,FL,26297,"Florida Community Bank, a division of Premier American Bank, N.A.","April 29, 2011",10362
Heritage Banking Group,Carthage,MS,14273,Trustmark National Bank,"April 15, 2011",10354
Rosemount National Bank,Rosemount,MN,24099,Central Bank,"April 15, 2011",10357
Superior Bank,Birmingham,AL,17750,"Superior Bank, National Association","April 15, 2011",10358
Nexity Bank,Birmingham,AL,19794,AloStar Bank of Commerce,"April 15, 2011",10356
New Horizons Bank,East Ellijay,GA,57705,Citizens South Bank,"April 15, 2011",10355
Bartow County Bank,Cartersville,GA,21495,Hamilton State Bank,"April 15, 2011",10353
Nevada Commerce Bank,Las Vegas,NV,35418,City National Bank,"April 8, 2011",10351
Western Springs National Bank and Trust,Western Springs,IL,10086,Heartland Bank and Trust Company,"April 8, 2011",10352
The Bank of Commerce,Wood Dale,IL,34292,Advantage National Bank Group,"March 25, 2011",10350
Legacy Bank,Milwaukee,WI,34818,Seaway Bank and Trust Company,"March 11, 2011",10348
First National Bank of Davis,Davis,OK,4077,The Pauls Valley National Bank,"March 11, 2011",10349
Valley Community Bank,St. Charles,IL,34187,First State Bank,"February 25, 2011",10347
"San Luis Trust Bank, FSB",San Luis Obispo,CA,34783,First California Bank,"February 18, 2011",10346
Charter Oak Bank,Napa,CA,57855,Bank of Marin,"February 18, 2011",10343
Citizens Bank of Effingham,Springfield,GA,34601,Heritage Bank of the South,"February 18, 2011",10344
Habersham Bank,Clarkesville,GA,151,SCBT National Association,"February 18, 2011",10345
Canyon National Bank,Palm Springs,CA,34692,Pacific Premier Bank,"February 11, 2011",10340
Badger State Bank,Cassville,WI,13272,Royal Bank,"February 11, 2011",10339
Peoples State Bank,Hamtramck,MI,14939,First Michigan Bank,"February 11, 2011",10341
Sunshine State Community Bank,Port Orange,FL,35478,"Premier American Bank, N.A.","February 11, 2011",10342
Community First Bank Chicago,Chicago,IL,57948,Northbrook Bank & Trust Company,"February 4, 2011",10337
North Georgia Bank,Watkinsville,GA,35242,BankSouth,"February 4, 2011",10338
American Trust Bank,Roswell,GA,57432,Renasant Bank,"February 4, 2011",10336
First Community Bank,Taos,NM,12261,"U.S. Bank, N.A.","January 28, 2011",10333
FirsTier Bank,Louisville,CO,57646,No Acquirer,"January 28, 2011",10334
Evergreen State Bank,Stoughton,WI,5328,McFarland State Bank,"January 28, 2011",10332
The First State Bank,Camargo,OK,2303,Bank 7,"January 28, 2011",10335
United Western Bank,Denver,CO,31293,First-Citizens Bank & Trust Company,"January 21, 2011",10331
The Bank of Asheville,Asheville,NC,34516,First Bank,"January 21, 2011",10330
CommunitySouth Bank & Trust,Easley,SC,57868,"CertusBank, National Association","January 21, 2011",10328
Enterprise Banking Company,McDonough,GA,19758,No Acquirer,"January 21, 2011",10329
Oglethorpe Bank,Brunswick,GA,57440,Bank of the Ozarks,"January 14, 2011",10327
Legacy Bank,Scottsdale,AZ,57820,Enterprise Bank & Trust,"January 7, 2011",10326
First Commercial Bank of Florida,Orlando,FL,34965,First Southern Bank,"January 7, 2011",10325
Community National Bank,Lino Lakes,MN,23306,Farmers & Merchants Savings Bank,"December 17, 2010",10321
First Southern Bank,Batesville,AR,58052,Southern Bank,"December 17, 2010",10322
"United Americas Bank, N.A.",Atlanta,GA,35065,State Bank and Trust Company,"December 17, 2010",10323
"Appalachian Community Bank, FSB",McCaysville,GA,58495,Peoples Bank of East Tennessee,"December 17, 2010",10319
Chestatee State Bank,Dawsonville,GA,34578,Bank of the Ozarks,"December 17, 2010",10320
"The Bank of Miami,N.A.",Coral Gables,FL,19040,1st United Bank,"December 17, 2010",10324
Earthstar Bank,Southampton,PA,35561,Polonia Bank,"December 10, 2010",10317
Paramount Bank,Farmington Hills,MI,34673,Level One Bank,"December 10, 2010",10318
First Banking Center,Burlington,WI,5287,First Michigan Bank,"November 19, 2010",10315
Allegiance Bank of North America,Bala Cynwyd,PA,35078,VIST Bank,"November 19, 2010",10314
Gulf State Community Bank,Carrabelle,FL,20340,Centennial Bank,"November 19, 2010",10316
Copper Star Bank,Scottsdale,AZ,35463,"Stearns Bank, N.A.","November 12, 2010",10311
Darby Bank & Trust Co.,Vidalia,GA,14580,Ameris Bank,"November 12, 2010",10312
Tifton Banking Company,Tifton,GA,57831,Ameris Bank,"November 12, 2010",10313
First Vietnamese American Bank,Westminster,CA,57885,Grandpoint Bank,"November 5, 2010",10307
Pierce Commercial Bank,Tacoma,WA,34411,Heritage Bank,"November 5, 2010",10309
Western Commercial Bank,Woodland Hills,CA,58087,First California Bank,"November 5, 2010",10310
K Bank,Randallstown,MD,31263,Manufacturers and Traders Trust Company (M&T Bank),"November 5, 2010",10308
"First Arizona Savings, A FSB",Scottsdale,AZ,32582,No Acquirer,"October 22, 2010",10306
Hillcrest Bank,Overland Park,KS,22173,"Hillcrest Bank, N.A.","October 22, 2010",10302
First Suburban National Bank,Maywood,IL,16089,Seaway Bank and Trust Company,"October 22, 2010",10301
The First National Bank of Barnesville,Barnesville,GA,2119,United Bank,"October 22, 2010",10304
The Gordon Bank,Gordon,GA,33904,Morris Bank,"October 22, 2010",10305
Progress Bank of Florida,Tampa,FL,32251,Bay Cities Bank,"October 22, 2010",10303
First Bank of Jacksonville,Jacksonville,FL,27573,Ameris Bank,"October 22, 2010",10300
Premier Bank,Jefferson City,MO,34016,Providence Bank,"October 15, 2010",10297
WestBridge Bank and Trust Company,Chesterfield,MO,58205,Midland States Bank,"October 15, 2010",10299
"Security Savings Bank, F.S.B.",Olathe,KS,30898,Simmons First National Bank,"October 15, 2010",10298
Shoreline Bank,Shoreline,WA,35250,GBC International Bank,"October 1, 2010",10295
Wakulla Bank,Crawfordville,FL,21777,Centennial Bank,"October 1, 2010",10296
North County Bank,Arlington,WA,35053,Whidbey Island Bank,"September 24, 2010",10294
Haven Trust Bank Florida,Ponte Vedra Beach,FL,58308,First Southern Bank,"September 24, 2010",10293
Maritime Savings Bank,West Allis,WI,28612,"North Shore Bank, FSB","September 17, 2010",10291
Bramble Savings Bank,Milford,OH,27808,Foundation Bank,"September 17, 2010",10288
The Peoples Bank,Winder,GA,182,Community & Southern Bank,"September 17, 2010",10292
First Commerce Community Bank,Douglasville,GA,57448,Community & Southern Bank,"September 17, 2010",10289
Bank of Ellijay,Ellijay,GA,58197,Community & Southern Bank,"September 17, 2010",10287
ISN Bank,Cherry Hill,NJ,57107,Customers Bank,"September 17, 2010",10290
Horizon Bank,Bradenton,FL,35061,Bank of the Ozarks,"September 10, 2010",10286
Sonoma Valley Bank,Sonoma,CA,27259,Westamerica Bank,"August 20, 2010",10285
Los Padres Bank,Solvang,CA,32165,Pacific Western Bank,"August 20, 2010",10282
Butte Community Bank,Chico,CA,33219,"Rabobank, N.A.","August 20, 2010",10278
Pacific State Bank,Stockton,CA,27090,"Rabobank, N.A.","August 20, 2010",10283
ShoreBank,Chicago,IL,15640,Urban Partnership Bank,"August 20, 2010",10284
Imperial Savings and Loan Association,Martinsville,VA,31623,"River Community Bank, N.A.","August 20, 2010",10280
Independent National Bank,Ocala,FL,27344,"CenterState Bank of Florida, N.A.","August 20, 2010",10281
Community National Bank at Bartow,Bartow,FL,25266,"CenterState Bank of Florida, N.A.","August 20, 2010",10279
Palos Bank and Trust Company,Palos Heights,IL,17599,First Midwest Bank,"August 13, 2010",10277
Ravenswood Bank,Chicago,IL,34231,Northbrook Bank & Trust Company,"August 6, 2010",10276
LibertyBank,Eugene,OR,31964,Home Federal Bank,"July 30, 2010",10273
The Cowlitz Bank,Longview,WA,22643,Heritage Bank,"July 30, 2010",10275
Coastal Community Bank,Panama City Beach,FL,9619,Centennial Bank,"July 30, 2010",10272
Bayside Savings Bank,Port Saint Joe,FL,57669,Centennial Bank,"July 30, 2010",10271
Northwest Bank & Trust,Acworth,GA,57658,State Bank and Trust Company,"July 30, 2010",10274
Home Valley Bank,Cave Junction,OR,23181,South Valley Bank & Trust,"July 23, 2010",10266
SouthwestUSA Bank,Las Vegas,NV,35434,Plaza Bank,"July 23, 2010",10267
Community Security Bank,New Prague,MN,34486,Roundbank,"July 23, 2010",10264
Thunder Bank,Sylvan Grove,KS,10506,The Bennington State Bank,"July 23, 2010",10269
Williamsburg First National Bank,Kingstree,SC,17837,"First Citizens Bank and Trust Company, Inc.","July 23, 2010",10270
Crescent Bank and Trust Company,Jasper,GA,27559,Renasant Bank,"July 23, 2010",10265
Sterling Bank,Lantana,FL,32536,IBERIABANK,"July 23, 2010",10268
"Mainstreet Savings Bank, FSB",Hastings,MI,28136,Commercial Bank,"July 16, 2010",10258
Olde Cypress Community Bank,Clewiston,FL,28864,"CenterState Bank of Florida, N.A.","July 16, 2010",10260
Turnberry Bank,Aventura,FL,32280,NAFH National Bank,"July 16, 2010",10261
Metro Bank of Dade County,Miami,FL,25172,NAFH National Bank,"July 16, 2010",10259
First National Bank of the South,Spartanburg,SC,35383,NAFH National Bank,"July 16, 2010",10263
Woodlands Bank,Bluffton,SC,32571,Bank of the Ozarks,"July 16, 2010",10262
Home National Bank,Blackwell,OK,11636,RCB Bank,"July 9, 2010",10256
USA Bank,Port Chester,NY,58072,New Century Bank,"July 9, 2010",10254
Ideal Federal Savings Bank,Baltimore,MD,32456,No Acquirer,"July 9, 2010",10257
Bay National Bank,Baltimore,MD,35462,"Bay Bank, FSB","July 9, 2010",10255
High Desert State Bank,Albuquerque,NM,35279,First American Bank,"June 25, 2010",10252
First National Bank,Savannah,GA,34152,"The Savannah Bank, N.A.","June 25, 2010",10251
Peninsula Bank,Englewood,FL,26563,"Premier American Bank, N.A.","June 25, 2010",10253
Nevada Security Bank,Reno,NV,57110,Umpqua Bank,"June 18, 2010",10250
Washington First International Bank,Seattle,WA,32955,East West Bank,"June 11, 2010",10249
TierOne Bank,Lincoln,NE,29341,Great Western Bank,"June 4, 2010",10248
Arcola Homestead Savings Bank,Arcola,IL,31813,No Acquirer,"June 4, 2010",10246
First National Bank,Rosedale,MS,15814,The Jefferson Bank,"June 4, 2010",10247
Sun West Bank,Las Vegas,NV,34785,City National Bank,"May 28, 2010",10245
"Granite Community Bank, NA",Granite Bay,CA,57315,Tri Counties Bank,"May 28, 2010",10244
Bank of Florida - Tampa,Tampa,FL,57814,EverBank,"May 28, 2010",10243
Bank of Florida - Southwest,Naples,FL,35106,EverBank,"May 28, 2010",10242
Bank of Florida - Southeast,Fort Lauderdale,FL,57360,EverBank,"May 28, 2010",10241
Pinehurst Bank,Saint Paul,MN,57735,Coulee Bank,"May 21, 2010",10240
Midwest Bank and Trust Company,Elmwood Park,IL,18117,"FirstMerit Bank, N.A.","May 14, 2010",10236
Southwest Community Bank,Springfield,MO,34255,Simmons First National Bank,"May 14, 2010",10239
New Liberty Bank,Plymouth,MI,35586,Bank of Ann Arbor,"May 14, 2010",10237
Satilla Community Bank,Saint Marys,GA,35114,Ameris Bank,"May 14, 2010",10238
1st Pacific Bank of California,San Diego,CA,35517,City National Bank,"May 7, 2010",10232
Towne Bank of Arizona,Mesa,AZ,57697,Commerce Bank of Arizona,"May 7, 2010",10235
Access Bank,Champlin,MN,16476,PrinsBank,"May 7, 2010",10233
The Bank of Bonifay,Bonifay,FL,14246,First Federal Bank of Florida,"May 7, 2010",10234
Frontier Bank,Everett,WA,22710,"Union Bank, N.A.","April 30, 2010",10228
BC National Banks,Butler,MO,17792,Community First Bank,"April 30, 2010",10225
